feature,rf_imp,lgbm_imp,logreg_imp,is_noise,avg_imp,rf_vote,lgbm_vote,logreg_vote,total_votes
adx_14,0.016852892739466167,2136,0.01409533326546873,False,1281.6064654011482,1,1,0,2
atr_regime,0.028206259705569944,1986,0.1469773520622156,False,1191.6231596131179,1,1,1,3
rolling_std_50,0.018739936404521845,1942,0.07850699898424493,False,1165.21347268082,1,1,1,3
d1_rsi,0.01759813227123501,1938,0.027493743353669275,False,1162.8080288140166,1,1,0,2
noise_random_walk,0.017831026324180155,1868,0.068614938997702,True,1120.812210801797,1,1,1,3
d1_close_vs_ema20,0.01807233376738722,1642,0.04459305909761732,False,985.20988100604,1,1,1,3
close_vs_ema200,0.016653616270740842,1637,0.07373562204214805,False,982.2123696470853,1,1,1,3
minus_di,0.014320036050851763,1484,0.11123022317689168,False,890.4154190331328,1,1,1,3
rolling_std_10,0.013690669825060873,1448,0.089048735218181,False,868.8130120744693,1,1,1,3
close_vs_day_open,0.014238782793005198,1400,0.09452374524194997,False,840.0137240093621,1,1,1,3
plus_di,0.013659866753820537,1394,0.05203298138406258,False,836.4093012581645,1,1,1,3
obv,0.016240029904266016,1365,0.14047158589964354,False,819.0189191675612,1,1,1,3
macd_hist,0.01512945755262509,1279,0.15343033120292388,False,767.4198818703861,1,1,1,3
bb_width,0.014511120996541825,1267,0.6030194433131244,False,760.2646552806302,1,1,1,3
volume_ratio,0.012926524357017159,1267,0.04439545640403197,False,760.2083175029474,1,1,1,3
noise_sinusoidal,0.012551952362244812,1266,0.09746923586011606,True,759.6135125092948,1,1,1,3
noise_gaussian_1,0.010556698922464403,1263,0.009551616878807718,True,757.8041221713646,1,1,0,2
volume_lag_5,0.01196552923690532,1260,0.006480893879046211,False,756.004237748159,1,1,0,2
rsi_lag_5,0.013162325577582389,1248,0.058795087394325755,False,748.8098282064127,1,1,1,3
macd_sig,0.016005745066625266,1229,0.08917277044576519,False,737.4137190005646,1,1,1,3
noise_gaussian_3,0.010191772083845902,1195,0.022114450273183903,True,717.0052689766525,0,1,0,1
noise_uniform_2,0.010531484914808492,1194,0.007068984849044794,True,716.4038663439593,0,1,0,1
volume_lag_1,0.01138239888491005,1179,0.006561949340042921,False,707.4040709145994,1,1,0,2
noise_gaussian_2,0.010338006591986774,1165,0.007642922404177553,True,699.003865694218,0,1,0,1
noise_uniform_1,0.010229060525176603,1159,0.002245859959922808,True,695.4032933041535,0,1,0,1
close_vs_ema50,0.014194293994173728,1130,0.2616075732412486,False,678.0304190455223,1,1,1,3
